Rank,Team,SubmissionID,Spec,SuccessRate,Return,Turns,Precision,Recall,F1,BookRate
1,pa_dstc8,504429,submission1,88.80%,61.56,7,0.92,0.96,0.93,93.75%
2,miao,504563,submission4,88.60%,61.63,6.69,0.83,0.94,0.87,96.39%
3,leo1020,504651,submission1,82.20%,54.09,6.55,0.71,0.92,0.78,94.56%
4,sangmuk,504641,submission4,80.60%,51.51,7.21,0.78,0.89,0.81,86.45%
5,Donghoon,504430,submission1,79.40%,49.69,7.59,0.8,0.89,0.83,87.02%
6,zehaolin,504529,submission1,58.00%,23.7,7.9,0.61,0.73,0.64,75.71%
7,changsongJo,504666,submission1,56.60%,20.14,9.78,0.68,0.77,0.7,58.63%
8,PhilJohnG,504502,submission1,55.20%,17.18,11.06,0.73,0.74,0.71,71.87%
9,fangh06,504524,submission1,54.00%,17.15,9.65,0.66,0.76,0.69,72.42%
10,hwaranlee,504569,submission4,52.20%,15.81,8.83,0.46,0.75,0.54,76.38%
11,c071132,504582,submission2,34.80%,-6.39,10.15,0.65,0.75,0.68,N/A
12,papower1,504632,submission1,0%,-58.88,20.88,0,0.01,0,N/A
N/A,Baseline,Baseline,milu_rule_rule_template,63.40%,30.41,7.67,0.72,0.83,0.75,86.37%
